team name,num,name,age,nationality,position,market value
Squad Paris Saint-Germain,99,Gianluigi Donnarumma,25,Italy,Goalkeeper,€40.00m
Squad Paris Saint-Germain,80,Arnau Tenas,22,Spain,Goalkeeper,€5.00m
Squad Paris Saint-Germain,1,Keylor Navas,37,Costa Rica,Goalkeeper,€2.00m
Squad Paris Saint-Germain,16,Sergio Rico,30,Spain,Goalkeeper,€2.00m
Squad Paris Saint-Germain,30,Alexandre Letellier,33,France,Goalkeeper,€300k
Squad Paris Saint-Germain,5,Marquinhos,29,Brazil,Centre-Back,€55.00m
Squad Paris Saint-Germain,37,Milan Skriniar,29,Slovakia,Centre-Back,€40.00m
Squad Paris Saint-Germain,35,Lucas Beraldo,20,Brazil,Centre-Back,€20.00m
Squad Paris Saint-Germain,3,Presnel Kimpembe,28,France,Centre-Back,€15.00m
Squad Paris Saint-Germain,25,Nuno Mendes,21,Portugal,Left-Back,€60.00m
Squad Paris Saint-Germain,21,Lucas Hernández,28,France,Left-Back,€45.00m
Squad Paris Saint-Germain,97,Layvin Kurzawa,31,France,Left-Back,€2.50m
Squad Paris Saint-Germain,2,Achraf Hakimi,25,Morocco,Right-Back,€65.00m
Squad Paris Saint-Germain,26,Nordi Mukiele,26,France,Right-Back,€10.00m
Squad Paris Saint-Germain,4,Manuel Ugarte,23,Uruguay,Defensive Midfield,€60.00m
Squad Paris Saint-Germain,15,Danilo Pereira,32,Portugal,Defensive Midfield,€9.00m
Squad Paris Saint-Germain,33,Warren Zaïre-Emery,18,France,Central Midfield,€60.00m
Squad Paris Saint-Germain,17,Vitinha,24,Portugal,Central Midfield,€45.00m
Squad Paris Saint-Germain,8,Fabián Ruiz,28,Spain,Central Midfield,€30.00m
Squad Paris Saint-Germain,28,Carlos Soler,27,Spain,Central Midfield,€20.00m
Squad Paris Saint-Germain,38,Ethan Mbappé,17,France,Central Midfield,€500k
Squad Paris Saint-Germain,19,Kang-in Lee,23,"Korea, South",Attacking Midfield,€22.00m
Squad Paris Saint-Germain,41,Senny Mayulu,17,France,Attacking Midfield,€1.00m
Squad Paris Saint-Germain,29,Bradley Barcola,21,France,Left Winger,€40.00m
Squad Paris Saint-Germain,10,Ousmane Dembélé,26,France,Right Winger,€60.00m
Squad Paris Saint-Germain,11,Marco Asensio,28,Spain,Right Winger,€20.00m
