team name,num,name,age,nationality,position,market value
Squad Inter Milan,77,Emil Audero,27,Italy,Goalkeeper,€6.00m
Squad Inter Milan,1,Yann Sommer,35,Switzerland,Goalkeeper,€5.00m
Squad Inter Milan,12,Raffaele Di Gennaro,30,Italy,Goalkeeper,€350k
Squad Inter Milan,95,Alessandro Bastoni,25,Italy,Centre-Back,€70.00m
Squad Inter Milan,28,Benjamin Pavard,28,France,Centre-Back,€50.00m
Squad Inter Milan,31,Yann Bisseck,23,Germany,Centre-Back,€15.00m
Squad Inter Milan,6,Stefan de Vrij,32,Netherlands,Centre-Back,€8.00m
Squad Inter Milan,15,Francesco Acerbi,36,Italy,Centre-Back,€4.00m
Squad Inter Milan,32,Federico Dimarco,26,Italy,Left-Back,€50.00m
Squad Inter Milan,36,Matteo Darmian,34,Italy,Right-Back,€4.00m
Squad Inter Milan,20,Hakan Çalhanoğlu,30,Türkiye,Defensive Midfield,€40.00m
Squad Inter Milan,21,Kristjan Asllani,22,Albania,Defensive Midfield,€16.00m
Squad Inter Milan,23,Nicolò Barella,27,Italy,Central Midfield,€75.00m
Squad Inter Milan,16,Davide Frattesi,24,Italy,Central Midfield,€30.00m
Squad Inter Milan,22,Henrikh Mkhitaryan,35,Armenia,Central Midfield,€6.00m
Squad Inter Milan,14,Davy Klaassen,31,Netherlands,Central Midfield,€5.00m
Squad Inter Milan,5,Stefano Sensi,28,Italy,Central Midfield,€4.00m
Squad Inter Milan,2,Denzel Dumfries,27,Netherlands,Right Midfield,€27.00m
Squad Inter Milan,17,Tajon Buchanan,25,Canada,Right Midfield,€8.00m
Squad Inter Milan,7,Juan Cuadrado,35,Colombia,Right Midfield,€1.50m
Squad Inter Milan,30,Carlos Augusto,25,Brazil,Left Midfield,€20.00m
Squad Inter Milan,10,Lautaro Martínez,26,Argentina,Centre-Forward,€110.00m
Squad Inter Milan,9,Marcus Thuram,26,France,Centre-Forward,€60.00m
Squad Inter Milan,8,Marko Arnautovic,34,Austria,Centre-Forward,€5.00m
Squad Inter Milan,70,Alexis Sánchez,35,Chile,Centre-Forward,€2.50m
Squad AC Milan,16,Mike Maignan,28,France,Goalkeeper,€40.00m
Squad AC Milan,57,Marco Sportiello,31,Italy,Goalkeeper,€1.50m
Squad AC Milan,69,Lapo Nava,20,Italy,Goalkeeper,€150k
Squad AC Milan,83,Antonio Mirante,40,Italy,Goalkeeper,€100k
Squad AC Milan,23,Fikayo Tomori,26,England,Centre-Back,€40.00m
Squad AC Milan,28,Malick Thiaw,22,Germany,Centre-Back,€30.00m
Squad AC Milan,20,Pierre Kalulu,23,France,Centre-Back,€25.00m
Squad AC Milan,46,Matteo Gabbia,24,Italy,Centre-Back,€6.00m
Squad AC Milan,24,Simon Kjaer,35,Denmark,Centre-Back,€2.00m
