team name,num,name,age,nationality,position,market value
Squad Real Madrid,1,Thibaut Courtois,31,Belgium,Goalkeeper,€30.00m
Squad Real Madrid,13,Andriy Lunin,25,Ukraine,Goalkeeper,€16.00m
Squad Real Madrid,25,Kepa Arrizabalaga,29,Spain,Goalkeeper,€12.00m
Squad Real Madrid,3,Éder Militão,26,Brazil,Centre-Back,€70.00m
Squad Real Madrid,4,David Alaba,31,Austria,Centre-Back,€25.00m
Squad Real Madrid,22,Antonio Rüdiger,31,Germany,Centre-Back,€25.00m
Squad Real Madrid,6,Nacho Fernández,34,Spain,Centre-Back,€4.00m
Squad Real Madrid,23,Ferland Mendy,28,France,Left-Back,€20.00m
Squad Real Madrid,20,Fran García,24,Spain,Left-Back,€15.00m
Squad Real Madrid,2,Daniel Carvajal,32,Spain,Right-Back,€12.00m
Squad Real Madrid,17,Lucas Vázquez,32,Spain,Right-Back,€5.00m
Squad Real Madrid,18,Aurélien Tchouaméni,24,France,Defensive Midfield,€90.00m
Squad Real Madrid,15,Federico Valverde,25,Uruguay,Central Midfield,€100.00m
Squad Real Madrid,12,Eduardo Camavinga,21,France,Central Midfield,€90.00m
Squad Real Madrid,8,Toni Kroos,34,Germany,Central Midfield,€12.00m
Squad Real Madrid,10,Luka Modric,38,Croatia,Central Midfield,€8.00m
Squad Real Madrid,19,Dani Ceballos,27,Spain,Central Midfield,€8.00m
Squad Real Madrid,5,Jude Bellingham,20,England,Attacking Midfield,€180.00m
Squad Real Madrid,21,Brahim Díaz,24,Morocco,Attacking Midfield,€35.00m
Squad Real Madrid,24,Arda Güler,19,Türkiye,Attacking Midfield,€15.00m
Squad Real Madrid,32,Nico Paz,19,Argentina,Attacking Midfield,€10.00m
Squad Real Madrid,7,Vinicius Junior,23,Brazil,Left Winger,€150.00m
Squad Real Madrid,11,Rodrygo,23,Brazil,Right Winger,€100.00m
Squad Real Madrid,14,Joselu,34,Spain,Centre-Forward,€5.00m
Squad FC Barcelona,1,Marc-André ter Stegen,31,Germany,Goalkeeper,€30.00m
Squad FC Barcelona,13,Iñaki Peña,25,Spain,Goalkeeper,€8.00m
Squad FC Barcelona,26,Ander Astralaga,20,Spain,Goalkeeper,€500k
Squad FC Barcelona,4,Ronald Araujo,25,Uruguay,Centre-Back,€70.00m
Squad FC Barcelona,23,Jules Koundé,25,France,Centre-Back,€50.00m
Squad FC Barcelona,15,Andreas Christensen,28,Denmark,Centre-Back,€40.00m
Squad FC Barcelona,33,Pau Cubarsí,17,Spain,Centre-Back,€25.00m
Squad FC Barcelona,5,Iñigo Martínez,32,Spain,Centre-Back,€6.00m
Squad FC Barcelona,3,Alejandro Balde,20,Spain,Left-Back,€40.00m
Squad FC Barcelona,17,Marcos Alonso,33,Spain,Left-Back,€3.00m
Squad FC Barcelona,2,João Cancelo,29,Portugal,Right-Back,€30.00m
Squad FC Barcelona,39,Héctor Fort,17,Spain,Right-Back,€7.50m
Squad FC Barcelona,18,Oriol Romeu,32,Spain,Defensive Midfield,€3.00m
Squad FC Barcelona,6,Gavi,19,Spain,Central Midfield,€90.00m
Squad FC Barcelona,8,Pedri,21,Spain,Central Midfield,€80.00m
Squad FC Barcelona,21,Frenkie de Jong,26,Netherlands,Central Midfield,€70.00m
Squad FC Barcelona,22,İlkay Gündoğan,33,Germany,Central Midfield,€16.00m
Squad FC Barcelona,16,Fermín López,20,Spain,Central Midfield,€15.00m
Squad FC Barcelona,20,Sergi Roberto,32,Spain,Central Midfield,€3.00m
Squad FC Barcelona,7,Ferran Torres,24,Spain,Left Winger,€35.00m
Squad FC Barcelona,14,João Félix,24,Portugal,Left Winger,€30.00m
Squad FC Barcelona,27,Lamine Yamal,16,Spain,Right Winger,€75.00m
Squad FC Barcelona,11,Raphinha,27,Brazil,Right Winger,€50.00m
Squad FC Barcelona,19,Vitor Roque,19,Brazil,Centre-Forward,€40.00m
Squad FC Barcelona,9,Robert Lewandowski,35,Poland,Centre-Forward,€15.00m
Squad FC Barcelona,38,Marc Guiu,18,Spain,Centre-Forward,€7.50m
Squad Real Sociedad,1,Álex Remiro,29,Spain,Goalkeeper,€25.00m
Squad Real Sociedad,13,Unai Marrero,22,Spain,Goalkeeper,€300k
Squad Real Sociedad,24,Robin Le Normand,27,Spain,Centre-Back,€40.00m
Squad Real Sociedad,5,Igor Zubeldia,27,Spain,Centre-Back,€22.00m
Squad Real Sociedad,6,Aritz Elustondo,30,Spain,Centre-Back,€9.00m
Squad Real Sociedad,20,Jon Pacheco,23,Spain,Centre-Back,€8.00m
Squad Real Sociedad,17,Kieran Tierney,26,Scotland,Left-Back,€12.00m
Squad Real Sociedad,3,Aihen Muñoz,26,Spain,Left-Back,€8.00m
Squad Real Sociedad,25,Javi Galán,29,Spain,Left-Back,€7.00m
Squad Real Sociedad,18,Hamari Traoré,32,Mali,Right-Back,€7.50m
Squad Real Sociedad,2,Álvaro Odriozola,28,Spain,Right-Back,€3.00m
Squad Real Sociedad,39,Jon Aramburu,21,Venezuela,Right-Back,€2.00m
